subte,hospital,metrobus,universidad,escuela publica,escuela privada,centro de salud
1348.53884361,1815.77533117,1286.52056682,1385.39679264,190.060840183,139.739615101,1637.68363474
2351.28664412,2034.96715497,81.2095959381,2662.3018262,297.019162147,490.684784962,2095.75169611
2351.28664412,2034.96715497,81.2095959381,2662.3018262,297.019162147,490.684784962,2095.75169611
2494.3659343,2191.61591635,194.652783234,2670.9934831,251.414473083,352.701969775,2046.42777306
3437.57695455,393.190455195,1197.32064996,2829.56940874,275.639390741,218.65705911,2950.48902927
4010.24683219,791.377867482,1709.36957167,2342.54320606,397.776335768,117.293133939,2824.32913968
1664.95320109,2052.49877434,627.262752485,1503.92044529,113.549394908,393.517869253,367.094277121
2933.91570313,594.384160262,704.113664323,2796.67185647,244.307214158,226.020383663,2618.19076135
2461.92512735,833.763172033,1058.2804576,953.894079176,73.2250529505,160.967493096,1643.88038376
818.960119125,1462.76445268,1391.46601538,414.430607489,83.2927634067,235.346812525,617.518024806
818.960119125,1462.76445268,1391.46601538,414.430607489,83.2927634067,235.346812525,617.518024806
1029.89226087,1247.62055443,1184.71759256,206.432913352,216.743269777,90.2523138664,409.600031769
1343.13413098,661.225312917,1301.12850323,317.077688074,339.534134658,232.901411908,307.648807144
671.639453811,756.294547156,605.875717714,1479.59373592,147.420287423,62.8217538998,1427.0702536
377.140657831,1392.14759734,2678.44749912,339.899767975,194.269826686,198.145581261,1297.83263921
377.140657831,1392.14759734,2678.44749912,339.899767975,194.269826686,198.145581261,1297.83263921
412.399573932,1992.10534686,3421.37282236,429.832890475,485.805917751,18.7641771431,1723.3384133
528.786788582,2036.72101263,3541.61129736,548.62436174,444.271902565,139.648310121,1779.50590333
528.786788582,2036.72101263,3541.61129736,548.62436174,444.271902565,139.648310121,1779.50590333
475.529340733,984.625539241,1325.24530333,1404.88447547,325.635690454,205.343032892,1104.06320591
475.529340733,984.625539241,1325.24530333,1404.88447547,325.635690454,205.343032892,1104.06320591
748.300680135,678.835332872,1781.41380715,466.340475688,291.357136139,52.951858224,291.915275106
