80;Instituto Universitario de la Policía Federal Argentina;ROSARIO 532;IN;IUPFA;Rosario 532;C1424;4903-7516/ 4902-4543/ 4902-4201/ 4901-9783;4909-4207;www.universidad-policial.edu.a;;Facultad de Ciencias Jurídicas y Sociales / Ciencias de la Seguridad / Ciencias Biomédicas / Ciencias de la Criminalística / Rectorado;-58.436303476051457;-34.619644072197161
80;Instituto Universitario de la Policía Federal Argentina;USPALLATA 3400;IN;IUPFA;Uspallata 3400;C1437;4909-4100 // 4909-4121/4179;4909-4121;www.universidad-policial.edu.a;;Facultad de Ciencias Biomédicas / Escuela de Enfermería “Nuestra Señora de los Remedios” / Escuela de Instrumentación Quirúrgica;-58.411351604809397;-34.639775412912719
84;Instituto Universitario Nacional del Arte;443 SANCHEZ DE LORIA;IN;IUNA;Sánchez de Loria 443/47/51;1173;4956-0168 // 4956-0075;;www.iuna.edu.ar;;Departamento de Artes del Movimiento “María Ruanova” / Área Transdepartamental de Folklore “Antonio Barcelo”;-58.413064147802537;-34.614693065024603
84;Instituto Universitario Nacional del Arte;843 YATAY;IN;IUNA;Yatay 843;1184;4 861-1541 // 4864-0004/ 4862-8209;;www.iuna.edu.ar;;Departamento de Artes Audiovisuales / Área Transdepartamental Carrera de Artes Multimediales;-58.428288033014908;-34.601892428278752
39;Pontificia Universidad Católica Argentina;1400 MOREAU DE JUSTO;UP;UCA;"Av. Alicia Moreau de Justo  1400 ""Edificio Santo Tomás Moro""";1107;4349-0200;4349-0223;www.uca.edu.ar;;Instituto de Ciencias Políticas y Relaciones Internacionales / Ciencias Sociales y Económicas / Derecho / Psicología y Educación /;-58.365851436280721;-34.614445230283536
39;Pontificia Universidad Católica Argentina;1500 MOREAU DE JUSTO;UP;UCA;"Av. Alicia Moreau de Justo  1500 ""Edificio San Alberto Magno""";1107;4349-0200/0419/20;4349-0402;www.uca.edu.ar;;Facultad de Filosofía y Letras / Ciencias Físicomatemáticas e Ingeniería / Artes y Ciencias Musicales / Derecho Canónico / Ciencias Médicas;-58.365722470816429;-34.615548695253736
79;Universidad Abierta Interamericana;90 CHACABUCO;UP;UAI;Chacabuco 90 1º piso;1069;4342-7788;4342-7654;www.uai.edu.ar;;Faculta de Medicina y Ciencias de la Salud/ Psicología y Relaciones Humanas/ Derecho y Ciencias Políticas/ Motricidad Humana y Deportes/ Ciencias Empresariales/ Desarrollo e Inv. Educativos/ Arquitectura/ Tecnología Informática/ Comunicación/ Turismo;-58.376146632374891;-34.609097491115328
41;Universidad Argentina de la Empresa;717 LIMA;UP;UADE;Lima 717;1073;4379-7601/7636/7601;4381-2807;www.uade.edu.ar;;Facultad de Ingeniería y Ciencias Exactas / Ciencias Económicas / Ciencias Jurídicas y Sociales / Comunicación y Diseño / Dirección de Empresas / Rectorado;-58.381782124042161;-34.616878370394168
42;Universidad Argentina John F. Kennedy;1411 BARTOLOME MITRE;UP;UK;Bartolomé Mitre 1411 1º Piso;1037;4371-6043 (C)4374-5211;;www.kennedy.edu.ar;;Departamento de Arte / Abogacía / Trabajo / Economía / Relaciones Públicas / Literatura / Matemática y Física / Rectorado;-58.386550744655523;-34.607445699197193
42;Universidad Argentina John F. Kennedy;1163 BOLIVAR;UP;UK;Bolivar 1163;1066;4362-5766/4361-6506;;www.kennedy.edu.ar;;Departamento de Construcciones y Estructuras / Diseño / Arquitectura / Empresa;-58.373061880304768;-34.621455149952723
42;Universidad Argentina John F. Kennedy;360 CARLOS CALVO;UP;UK;Carlos Calvo 360;1230;4932-9307;;www.kennedy.edu.ar;;Departamento de Química General, Inorgánica y Orgánica;-58.370914830636352;-34.619674321120996
42;Universidad Argentina John F. Kennedy;3729 DON BOSCO;UP;UK;Don Bosco 3729;1206;4982-2746/4958-4075;;www.kennedy.edu.ar;;Departamento de Tecnologías Informáticas / Diseño de Sistemas;-58.418300899928752;-34.612413057641596
42;Universidad Argentina John F. Kennedy;929 ESTADOS UNIDOS;UP;UK;Estados Unidos 929;1101;4300-1166;;www.kennedy.edu.ar;;Departamento de Psicoanálisis / Filosofía / Deportes / Psicología Clínica;-58.379147085623998;-34.618338464989236
